id,name,now_cost,position,team,yellow_cards,own_goals,influence_rank_type,direct_freekicks_order,selected_rank,form_rank,threat,cost_change_start,value_season,saves,transfers_out_event,expected_goals_per_90,ict_index_rank_type,in_dreamteam,selected_rank_type,corners_and_indirect_freekicks_order,expected_goal_involvements_per_90,expected_goal_involvements,transfers_out,form_rank_type,status,expected_goals,total_points,chance_of_playing_next_round,ict_index,clean_sheets,web_name,chance_of_playing_this_round,goals_conceded,points_per_game_rank,starts,goals_conceded_per_90,penalties_saved,expected_goals_conceded,influence_rank,expected_assists_per_90,region,news,expected_assists,bonus,ep_this,ep_next,news_added,minutes,starts_per_90,selected_by_percent,now_cost_rank_type,cost_change_event,points_per_game_rank_type,expected_goals_conceded_per_90,saves_per_90,cost_change_event_fall,dreamteam_count,event_points,threat_rank_type,transfers_in,goals_scored,threat_rank,can_select,penalties_missed,form,clean_sheets_per_90,assists,influence,ict_index_rank,creativity,penalties_order,creativity_rank_type,creativity_rank,points_per_game,bps,red_cards,cost_change_start_fall,value_form,now_cost_rank,transfers_in_event
13,Martin Ødegaard,83,MID,Arsenal,1,0,75,1.0,67,48,161.0,-2,4.3,0,36411,0.27,52,False,21,3.0,0.52,4.20,1484089,25,a,2.19,36,100.0,64.3,5,Ødegaard,100.0,5,49,9,0.62,0,5.75,189,0.25,161.0,,2.01,3,5.4,5.4,2024-09-10T00:30:06.311550Z,725,1.12,5.9,8,0,20,0.71,0.0,0,0,3,65,525792,1,100,True,0,4.4,0.62,2,172.2,85,308.1,2.0,33,41,4.0,157,0,2,0.5,11,9675
15,David Raya Martin,56,GKP,Arsenal,2,0,12,,5,43,0.0,1,11.4,40,25379,0.0,12,False,1,,0.0,0.01,1740684,2,a,0.00,64,100.0,35.2,6,Raya,100.0,15,48,16,0.94,0,14.27,37,0.0,200.0,,0.01,6,5.4,5.4,2024-09-25T21:30:06.211210Z,1440,1.0,31.0,1,0,8,0.89,2.5,0,1,6,72,2213509,0,693,True,0,4.4,0.38,0,351.4,204,0.0,,72,694,4.0,233,0,-1,0.8,102,62385
16,Declan Rice,62,MID,Arsenal,3,0,48,2.0,121,113,116.0,-3,5.3,0,10752,0.08,41,False,36,2.0,0.27,3.39,570816,57,a,0.97,33,100.0,71.8,4,Rice,100.0,15,197,14,1.16,0,11.24,136,0.19,241.0,,2.42,2,3.8,3.8,2024-12-14T22:30:07.561621Z,1163,1.08,2.5,39,0,86,0.87,0.0,0,0,3,89,166324,0,135,True,0,2.8,0.31,2,227.2,64,379.5,,17,20,2.4,206,1,3,0.5,62,1022
17,Bukayo Saka,106,MID,Arsenal,3,0,4,,3,5,604.0,6,10.0,0,63025,0.3,3,True,3,1.0,0.7,9.77,3671527,5,a,4.17,106,100.0,174.9,6,Saka,100.0,12,3,15,0.87,0,9.78,6,0.4,241.0,,5.60,16,8.8,8.8,2024-11-10T23:00:07.191683Z,1245,1.08,44.4,3,0,3,0.71,0.0,0,4,3,3,5142397,5,4,True,0,7.8,0.43,11,516.2,3,629.8,1.0,1,1,7.1,432,0,-6,0.7,4,75985
18,William Saliba,63,DEF,Arsenal,2,0,19,,6,8,89.0,3,9.7,0,25294,0.13,38,False,1,,0.18,2.54,2830545,1,a,1.88,61,100.0,45.4,6,Saliba,100.0,13,44,15,0.91,0,11.63,56,0.05,73.0,,0.66,5,8.6,8.6,2024-10-19T19:30:06.564445Z,1289,1.05,30.1,3,1,7,0.81,0.0,-1,2,6,35,1836787,2,174,True,0,7.6,0.42,0,316.6,148,46.2,,80,278,4.1,254,1,-3,1.2,58,93643
20,Thomas Partey,50,MID,Arsenal,2,0,29,,213,80,96.0,0,9.6,0,4722,0.09,67,False,62,,0.16,2.14,217551,40,a,1.19,48,100.0,54.1,4,Thomas,100.0,13,98,13,0.96,0,12.43,85,0.07,81.0,,0.95,5,4.4,4.4,2024-11-30T22:00:07.258906Z,1218,0.96,0.9,122,0,41,0.92,0.0,0,0,1,102,252957,2,163,True,0,3.4,0.3,1,277.8,113,164.4,,83,118,3.2,257,0,0,0.7,197,982
21,Kieran Tierney,43,DEF,Arsenal,0,0,216,,558,499,0.0,-2,0.0,0,157,0.0,216,False,196,,0.0,0.00,4780,202,a,0.00,0,100.0,0.0,0,Tierney,100.0,0,563,0,0.0,0,0.00,557,0.0,243.0,,0.00,0,1.0,1.0,2024-08-12T14:30:04.394338Z,0,0.0,0.0,125,0,215,0.0,0.0,0,0,0,205,1830,0,517,True,0,0.0,0.0,0,0.0,559,0.0,,215,547,0.0,0,0,2,0.0,550,174
22,Tomiyasu Takehiro,48,DEF,Arsenal,0,0,165,,550,630,9.0,-2,0.2,0,44,2.7,155,False,193,,2.7,0.18,7336,227,i,0.18,1,0.0,1.0,0,Tomiyasu,0.0,0,427,0,0.0,0,0.04,471,0.0,108.0,Knee injury - Unknown return date,0.00,0,0.0,0.0,2024-10-18T16:00:06.930143Z,6,0.0,0.0,34,0,147,0.6,0.0,0,0,0,120,1399,0,350,True,0,0.0,0.0,0,0.4,454,0.3,,157,440,1.0,2,0,2,0.0,306,21
23,Leandro Trossard,68,MID,Arsenal,0,0,54,,159,74,277.0,-2,7.2,0,10594,0.26,43,False,46,4.0,0.37,3.57,443630,37,a,2.50,49,100.0,71.3,3,Trossard,100.0,11,118,10,1.16,0,6.80,148,0.11,21.0,,1.07,5,4.6,4.6,2024-11-21T08:30:08.540890Z,854,1.05,1.7,15,0,51,0.72,0.0,0,1,1,28,367997,3,44,True,0,3.6,0.32,2,218.4,66,219.2,4.0,59,75,3.1,180,1,2,0.5,30,2089
24,Benjamin White,61,DEF,Arsenal,2,0,89,,123,690,29.0,-4,4.4,0,5649,0.02,89,False,51,,0.06,0.45,947881,233,i,0.13,27,0.0,21.3,3,White,0.0,7,125,7,0.91,0,9.87,238,0.04,241.0,Knee injury - Unknown return date,0.32,0,0.0,0.0,2024-11-14T13:00:07.861117Z,694,0.91,2.5,5,0,34,1.28,0.0,0,0,0,88,145250,0,283,True,0,0.0,0.39,1,128.4,277,55.3,,67,258,3.0,112,0,4,0.0,74,98
25,Oleksandr Zinchenko,48,DEF,Arsenal,1,0,139,,206,222,21.0,-2,3.1,0,3680,0.02,122,False,81,,0.05,0.14,297541,64,d,0.06,15,25.0,6.7,2,Zinchenko,25.0,0,174,2,0.0,0,1.73,392,0.03,225.0,Knock - 25% chance of playing,0.08,0,0.6,0.6,2024-12-09T09:30:06.099861Z,234,0.77,0.9,33,0,51,0.67,0.0,0,0,0,96,87329,0,302,True,0,1.4,0.77,0,22.2,374,23.2,,104,325,2.5,60,0,2,0.3,300,26
73,Norberto Murara Neto,42,GKP,Arsenal,0,0,28,,212,485,0.0,-3,1.7,11,1616,0.0,28,False,30,,0.0,0.00,230665,61,a,0.00,7,100.0,7.8,0,Neto,100.0,2,76,2,1.0,0,2.91,300,0.0,30.0,,0.00,0,1.0,1.0,2024-10-05T17:30:06.760449Z,180,1.0,0.9,36,0,11,1.46,5.5,0,0,0,37,83030,0,502,True,0,0.0,0.0,0,77.8,363,0.0,,46,534,3.5,30,0,3,0.0,575,300
186,Raheem Sterling,67,MID,Arsenal,0,0,178,3.0,210,273,54.0,-3,1.3,0,816,0.32,167,False,61,,0.38,0.60,148089,143,a,0.51,9,100.0,11.3,0,Sterling,100.0,1,324,2,0.62,0,1.39,384,0.06,241.0,,0.09,0,2.0,2.0,2024-11-02T15:00:07.534992Z,144,1.25,0.9,18,0,153,0.87,0.0,0,0,0,129,46755,0,232,True,0,1.0,0.0,1,23.8,339,37.8,,172,289,1.5,24,0,3,0.1,35,184
578,Riccardo Calafiori,58,DEF,Arsenal,1,0,86,,191,254,111.0,-2,3.4,0,5254,0.1,74,False,77,,0.18,0.98,358576,73,d,0.55,20,25.0,29.4,1,Calafiori,25.0,8,181,6,1.43,0,5.93,225,0.08,106.0,Groin Injury - 25% chance of playing,0.43,1,0.6,0.6,2024-12-05T01:00:08.685840Z,505,1.07,1.2,8,0,53,1.06,0.0,0,1,0,18,194442,1,141,True,0,1.2,0.18,0,137.8,234,46.3,,79,277,2.5,77,0,2,0.2,90,80
597,Myles Lewis-Skelly,45,MID,Arsenal,1,0,196,,498,314,2.0,0,0.9,0,229,0.0,198,False,189,,0.07,0.06,7886,156,a,0.00,4,100.0,3.0,1,Lewis-Skelly,100.0,2,350,1,2.17,0,0.89,418,0.07,241.0,,0.06,0,1.6,1.6,2024-12-03T15:00:08.736469Z,83,1.08,0.1,258,0,167,0.97,0.0,0,0,3,207,8655,0,393,True,0,0.6,1.08,0,11.6,411,16.2,,194,343,1.3,20,0,0,0.1,427,560
633,Mikel Merino,60,MID,Arsenal,1,0,107,,485,209,118.0,0,3.5,0,501,0.24,111,False,182,,0.34,1.74,16743,105,a,1.24,21,100.0,32.0,2,Merino,100.0,5,211,5,0.96,0,4.00,249,0.1,200.0,,0.50,1,2.6,2.6,2024-11-30T22:00:08.239353Z,471,0.96,0.1,51,0,93,0.76,0.0,0,0,3,88,20052,1,134,True,0,1.6,0.38,0,118.8,220,86.0,,126,198,2.3,80,0,0,0.3,79,387
638,Salah-Eddine Oulad M'hand,45,MID,Arsenal,0,0,261,,628,575,0.0,0,0.0,0,31,0.0,263,False,275,,0.0,0.00,1454,230,a,0.00,0,,0.0,0,Oulad M'hand,,0,625,0,0.0,0,0.00,618,0.0,152.0,,0.00,0,1.0,1.0,,0,0.0,0.0,257,0,265,0.0,0.0,0,0,0,259,1894,0,600,True,0,0.0,0.0,0,0.0,620,0.0,,265,616,0.0,0,0,0,0.0,426,19
639,Tommy Setford,45,GKP,Arsenal,0,0,72,,537,600,0.0,0,0.0,0,120,0.0,72,False,66,,0.0,0.00,2611,72,a,0.00,0,,0.0,0,Setford,,0,647,0,0.0,0,0.00,640,0.0,241.0,,0.00,0,1.0,1.0,,0,0.0,0.0,19,0,72,0.0,0.0,0,0,0,60,2712,0,622,True,0,0.0,0.0,0,0.0,642,0.0,,65,638,0.0,0,0,0,0.0,455,103
657,Maldini Kacurri,40,DEF,Arsenal,0,0,205,,491,473,0.0,0,0.0,0,274,0.0,205,False,178,,0.0,0.00,5856,183,a,0.00,0,,0.0,0,Kacurri,,0,549,0,0.0,0,0.00,543,0.0,2.0,,0.00,0,1.0,1.0,,0,0.0,0.1,211,0,204,0.0,0.0,0,0,0,191,9051,0,489,True,0,0.0,0.0,0,0.0,545,0.0,,203,524,0.0,0,0,0,0.0,671,179
658,Ayden Heaven,40,DEF,Arsenal,0,0,210,,515,479,0.0,0,0.0,0,227,0.0,210,False,185,,0.0,0.00,4057,189,a,0.00,0,,0.0,0,Heaven,,0,554,0,0.0,0,0.00,548,0.0,241.0,,0.00,0,1.0,1.0,,0,0.0,0.0,217,0,209,0.0,0.0,0,0,0,197,5751,0,495,True,0,0.0,0.0,0,0.0,550,0.0,,208,529,0.0,0,0,0,0.0,677,111
659,Ismeal Kabia,45,MID,Arsenal,0,0,285,,625,608,0.0,0,0.0,0,49,0.0,287,False,272,,0.0,0.00,1439,257,a,0.00,0,,0.0,0,Kabia,,0,654,0,0.0,0,0.00,648,0.0,152.0,,0.00,0,1.0,1.0,,0,0.0,0.0,290,0,289,0.0,0.0,0,0,0,284,2066,0,631,True,0,0.0,0.0,0,0.0,650,0.0,,289,646,0.0,0,0,0,0.0,466,40
662,Josh Nichols,40,DEF,Arsenal,0,0,189,,548,454,0.0,0,0.0,0,163,0.0,189,False,192,,0.0,0.00,2077,165,a,0.00,0,,0.0,0,Nichols,,0,531,0,0.0,0,0.00,526,0.0,241.0,,0.00,0,1.0,1.0,,0,0.0,0.0,189,0,187,0.0,0.0,0,0,0,170,3258,0,467,True,0,0.0,0.0,0,0.0,528,0.0,,185,505,0.0,0,0,0,0.0,648,99
665,Nathan Butler-Oyedeji,45,FWD,Arsenal,0,0,51,,354,554,0.0,0,0.0,0,1450,0.0,51,False,56,,0.0,0.00,23513,48,a,0.00,0,,0.0,0,Butler-Oyedeji,,0,605,0,0.0,0,0.00,598,0.0,241.0,,0.00,0,1.0,1.0,,0,0.0,0.2,65,0,54,0.0,0.0,0,0,0,51,41244,0,577,True,0,0.0,0.0,0,0.0,600,0.0,,52,595,0.0,0,0,0,0.0,397,974
28,Leon Bailey,62,MID,Aston Villa,2,0,151,4.0,223,257,138.0,-3,4.4,0,4055,0.07,104,False,69,3.0,0.36,2.91,417209,132,d,0.58,27,25.0,35.7,1,Bailey,25.0,12,272,10,1.49,0,8.93,321,0.29,107.0,Hamstring injury - 25% chance of playing,2.33,0,0.3,0.0,2024-12-09T09:30:06.119495Z,727,1.24,0.8,41,0,125,1.11,0.0,0,0,0,76,137123,0,116,True,0,1.2,0.12,2,66.8,202,153.8,,91,128,1.9,90,0,3,0.2,64,46
29,Ross Barkley,52,MID,Aston Villa,3,0,91,,316,120,171.0,-3,5.4,0,959,0.31,96,False,101,,0.39,1.90,78511,59,a,1.53,28,100.0,41.0,1,Barkley,100.0,7,224,2,1.43,0,4.38,221,0.08,241.0,,0.37,2,2.6,1.6,2024-11-01T16:30:07.356966Z,441,0.41,0.3,93,0,99,0.89,0.0,0,0,1,58,21676,2,93,True,0,2.6,0.2,1,142.8,175,96.9,,118,184,2.2,103,0,3,0.5,157,327
30,Enzo Barrenechea,49,MID,Aston Villa,0,0,302,,606,650,0.0,-1,0.0,0,10,0.0,302,False,260,,0.0,0.00,5185,288,u,0.00,0,0.0,0.0,0,Barrenechea,0.0,0,673,0,0.0,0,0.00,672,0.0,,Loaned to Valencia CF,0.00,0,0.0,0.0,2024-08-31T06:33:47.934620Z,0,0.0,0.0,184,0,302,0.0,0.0,0,0,0,300,872,0,662,False,0,0.0,0.0,0,0.0,672,0.0,,302,667,0.0,0,0,1,0.0,280,0
31,Emiliano Buendía Stati,52,MID,Aston Villa,1,0,208,3.0,468,347,3.0,-3,1.2,0,183,0.22,201,False,172,,0.27,0.11,14033,169,a,0.09,6,,2.9,0,Buendia,,0,453,0,0.0,0,1.11,436,0.05,10.0,,0.02,0,0.4,-0.6,,37,0.0,0.1,98,0,221,2.7,0.0,0,0,0,205,5687,0,383,True,0,0.4,0.0,0,7.0,415,19.2,,186,334,0.9,24,0,3,0.1,163,35
32,Matty Cash,44,DEF,Aston Villa,3,0,84,,173,179,65.0,-1,5.0,0,5671,0.01,79,False,72,,0.08,0.68,306084,51,a,0.08,22,100.0,26.3,1,Cash,100.0,10,213,9,1.22,0,9.92,215,0.07,172.0,,0.60,0,1.8,0.8,2024-11-04T00:00:07.281139Z,740,1.09,1.4,95,0,64,1.21,0.0,0,0,1,55,138351,1,209,True,0,1.8,0.12,0,146.6,250,51.9,,72,266,2.2,79,0,1,0.4,489,2810
33,Leander Dendoncker,45,MID,Aston Villa,0,0,237,,342,538,0.0,0,0.0,0,367,0.0,239,False,112,,0.0,0.00,89164,205,u,0.00,0,0.0,0.0,0,Dendoncker,0.0,0,590,0,0.0,0,0.00,583,0.0,,On loan to Anderlecht for the rest of the season,0.00,0,0.0,0.0,2024-09-02T10:45:36.198316Z,0,0.0,0.2,227,0,241,0.0,0.0,0,0,0,234,18187,0,560,False,0,0.0,0.0,0,0.0,585,0.0,,241,579,0.0,0,0,0,0.0,366,0
34,Moussa Diaby,65,MID,Aston Villa,0,0,319,,616,696,0.0,0,0.0,0,9,0.0,319,False,265,,0.0,0.00,3331,318,u,0.00,0,0.0,0.0,0,Diaby,0.0,0,699,0,0.0,0,0.00,699,0.0,,Permanent transfer to Al Ittihad,0.00,0,0.0,0.0,2024-07-26T08:50:40.300928Z,0,0.0,0.0,26,0,319,0.0,0.0,0,0,0,319,0,0,699,False,0,0.0,0.0,0,0.0,699,0.0,,319,699,0.0,0,0,0,0.0,47,0
35,Diego Carlos Santos Silva,45,DEF,Aston Villa,1,0,87,,262,200,52.0,0,4.4,0,1791,0.08,93,False,97,,0.09,0.72,68452,57,a,0.64,20,100.0,19.1,2,Diego Carlos,100.0,13,215,7,1.59,0,10.75,236,0.01,30.0,,0.08,1,1.6,0.6,2024-09-25T21:30:06.256588Z,738,0.85,0.5,62,0,66,1.31,0.0,0,0,1,70,46523,0,235,True,0,1.6,0.24,0,130.0,291,8.2,,124,383,2.2,67,0,0,0.4,368,1002
36,Lucas Digne,47,DEF,Aston Villa,3,0,34,2.0,45,217,75.0,2,9.4,0,59070,0.04,11,False,14,2.0,0.22,2.88,829453,62,a,0.54,44,,68.8,2,Digne,,19,143,14,1.47,0,15.32,94,0.18,73.0,,2.34,6,1.4,0.4,,1163,1.08,9.0,41,0,39,1.19,0.0,0,2,2,46,1502788,0,195,True,0,1.4,0.15,3,262.8,71,349.3,,4,31,2.8,195,0,-2,0.3,326,7472
37,Lewis Dobbin,50,MID,Aston Villa,0,0,308,,688,665,0.0,0,0.0,0,2,0.0,308,False,310,,0.0,0.00,274,300,u,0.00,0,0.0,0.0,0,Dobbin,0.0,0,682,0,0.0,0,0.00,681,0.0,,Permanent transfer to West Bromwich Albion,0.00,0,0.0,0.0,2024-08-07T08:21:33.016106Z,0,0.0,0.0,140,0,308,0.0,0.0,0,0,0,306,0,0,674,False,0,0.0,0.0,0,0.0,681,0.0,,308,678,0.0,0,0,0,0.0,220,0
38,Jhon Durán,58,FWD,Aston Villa,3,0,17,,105,101,276.0,-2,7.9,0,8913,0.77,21,False,17,,0.81,4.30,827153,19,a,4.08,46,,57.0,1,Duran,,10,140,2,1.88,0,8.17,132,0.04,48.0,,0.22,8,3.0,2.0,,478,0.38,3.1,27,0,21,1.54,0.0,0,0,5,17,1036983,6,45,True,0,3.0,0.19,0,229.8,104,62.8,,29,241,2.9,193,0,2,0.5,91,35298
39,Joe Gauci,40,GKP,Aston Villa,0,0,60,,225,445,0.0,0,0.0,0,915,0.0,60,False,31,,0.0,0.00,48701,54,a,0.00,0,,0.0,0,Gauci,,0,522,0,0.0,0,0.00,518,0.0,13.0,,0.00,0,0.0,-1.0,,0,0.0,0.8,60,0,60,0.0,0.0,0,0,0,28,60259,0,458,True,0,0.0,0.0,0,0.0,520,0.0,,38,497,0.0,0,0,0,0.0,638,232
40,Kortney Hause,39,DEF,Aston Villa,0,0,167,,258,397,0.0,-1,0.0,0,850,0.0,167,False,93,,0.0,0.00,48609,136,a,0.00,0,,0.0,0,Hause,,0,482,0,0.0,0,0.00,477,0.0,241.0,,0.00,0,0.0,-1.0,,0,0.0,0.5,222,-1,165,0.0,0.0,1,0,0,141,35716,0,408,True,0,0.0,0.0,0,0.0,479,0.0,,162,452,0.0,0,0,1,0.0,683,542
41,Samuel Iling-Junior,54,MID,Aston Villa,0,0,315,,600,685,0.0,-1,0.0,0,10,0.0,315,False,257,,0.0,0.00,6632,311,u,0.00,0,0.0,0.0,0,Iling Jr,0.0,0,692,0,0.0,0,0.00,692,0.0,,Season long loan to Bologna,0.00,0,0.0,0.0,2024-08-29T11:07:04.555253Z,0,0.0,0.0,82,0,315,0.0,0.0,0,0,0,313,342,0,689,False,0,0.0,0.0,0,0.0,692,0.0,,315,691,0.0,0,0,1,0.0,139,0
42,Boubacar Kamara,50,MID,Aston Villa,1,0,160,,599,185,2.0,0,2.2,0,174,0.0,178,False,256,,0.02,0.08,2008,91,a,0.00,11,100.0,8.4,1,Kamara,100.0,7,305,4,1.84,0,4.49,339,0.02,73.0,,0.08,0,1.8,0.8,2024-11-11T16:00:06.089849Z,343,1.05,0.0,131,0,142,1.18,0.0,0,0,2,214,2894,0,402,True,0,1.8,0.26,0,53.8,359,26.6,,181,314,1.6,60,0,0,0.4,208,158
43,Kaine Kesler-Hayden,40,DEF,Aston Villa,0,0,186,,645,448,0.0,0,0.0,0,15,0.0,186,False,218,,0.0,0.00,1550,161,u,0.00,0,0.0,0.0,0,Kesler-Hayden,0.0,0,525,0,0.0,0,0.00,521,0.0,,Has joined Preston North End for the rest of the season,0.00,0,0.0,0.0,2024-08-09T11:14:21.895838Z,0,0.0,0.0,184,0,183,0.0,0.0,0,0,0,166,0,0,461,False,0,0.0,0.0,0,0.0,523,0.0,,182,500,0.0,0,0,0,0.0,641,0
44,Ezri Konsa Ngoyo,44,DEF,Aston Villa,0,0,55,,52,124,73.0,-1,7.3,0,22965,0.04,60,False,16,,0.07,0.95,1339084,30,a,0.59,32,100.0,35.8,1,Konsa,100.0,22,201,14,1.68,0,16.04,139,0.03,241.0,,0.36,3,2.4,1.4,2024-11-21T08:30:08.587167Z,1181,1.07,7.8,96,0,59,1.22,0.0,0,2,1,48,900207,1,198,True,0,2.4,0.08,0,223.2,201,61.5,,63,244,2.3,159,0,1,0.5,490,5993
45,Ian Maatsen,46,DEF,Aston Villa,1,0,112,,175,316,54.0,-4,2.6,0,3048,0.03,82,False,73,,0.31,0.95,299659,97,a,0.08,12,100.0,25.0,0,Maatsen,100.0,6,450,2,1.91,0,4.25,323,0.28,152.0,,0.87,0,0.6,-0.4,2024-11-14T10:00:07.838636Z,282,0.64,1.4,51,0,150,1.36,0.0,0,0,1,67,71807,0,229,True,0,0.6,0.0,0,65.2,260,130.1,,31,153,0.9,40,0,4,0.1,350,596
46,Filip Marschall,40,GKP,Aston Villa,0,0,59,,694,444,0.0,0,0.0,0,0,0.0,59,False,71,,0.0,0.00,66,53,u,0.00,0,0.0,0.0,0,Marschall,0.0,0,521,0,0.0,0,0.00,517,0.0,,Has joined MK Dons for the rest of the season,0.00,0,0.0,0.0,2024-07-18T09:50:40.812599Z,0,0.0,0.0,59,0,59,0.0,0.0,0,0,0,27,0,0,457,False,0,0.0,0.0,0,0.0,519,0.0,,37,496,0.0,0,0,0,0.0,637,0
